--agc-startup-min-volume	c1	c2	c4	c5	--alsa-enable-upsampling	c7	c8	c9	c10	c11	c12	--audio-output-channels	c14	c15	c16	c17	c19	c20	c21	c22	c23	c24	c25	c26	c27	c28	c29	c30	c31	c32	c33	c34	c35	--data-reduction-proxy-lo-fi
12			--allow-cross-origin-auth-prompt	--allow-hidden-media-playback	48kHz			--arc-availability=installed	--ash-animate-from-boot-splash-screen	--ash-enable-magnifier-key-scroller		1								--disable-hang-monitor			--disable-permission-action-reporting	--disable-suggestions-ui						--force-first-run	--incognito			disabled
255	--accept-resource-provider	--account-consistency		--allow-hidden-media-playback	32kHz	--alternative	--app				--ash-enable-night-light	10	--auto	--bwsi	--ChromeOSMemoryPressureHandling	--cloud-print-setup-proxy	--disable-2d-canvas-clip-aa	--disable-backing-store-limit	--disable-direct-composition-layers		--disable-local-storage	--disable-per-user-timezone			--disable-sync	--enable-accelerated-2d-canvas	--enable-cast-receiver	--fast-start	--force-enable-stylus-tools			--is-running-in-mash	--log-net-log	cellular-only
255		--account-consistency	--allow-cross-origin-auth-prompt		32kHz	--alternative			--ash-animate-from-boot-splash-screen	--ash-enable-magnifier-key-scroller	--ash-enable-night-light	1	--auto		--ChromeOSMemoryPressureHandling		--disable-2d-canvas-clip-aa		--disable-direct-composition-layers	--disable-hang-monitor	--disable-local-storage	--disable-per-user-timezone	--disable-permission-action-reporting				--enable-cast-receiver	--fast-start			--incognito	--is-running-in-mash		disabled
12	--accept-resource-provider				48kHz		--app	--arc-availability=installed				10		--bwsi		--cloud-print-setup-proxy		--disable-backing-store-limit						--disable-suggestions-ui	--disable-sync	--enable-accelerated-2d-canvas			--force-enable-stylus-tools	--force-first-run			--log-net-log	disabled
12		--account-consistency			48kHz		--app	--arc-availability=installed	--ash-animate-from-boot-splash-screen	--ash-enable-magnifier-key-scroller	--ash-enable-night-light	10	--auto	--bwsi			--disable-2d-canvas-clip-aa	--disable-backing-store-limit		--disable-hang-monitor		--disable-per-user-timezone		--disable-suggestions-ui		--enable-accelerated-2d-canvas	--enable-cast-receiver	--fast-start		--force-first-run	--incognito	--is-running-in-mash	--log-net-log	always-on
255	--accept-resource-provider		--allow-cross-origin-auth-prompt	--allow-hidden-media-playback	32kHz	--alternative						1			--ChromeOSMemoryPressureHandling	--cloud-print-setup-proxy			--disable-direct-composition-layers		--disable-local-storage		--disable-permission-action-reporting		--disable-sync				--force-enable-stylus-tools					always-on
255			--allow-cross-origin-auth-prompt		48kHz	--alternative		--arc-availability=installed			--ash-enable-night-light	10					--disable-2d-canvas-clip-aa	--disable-backing-store-limit	--disable-direct-composition-layers		--disable-local-storage			--disable-suggestions-ui	--disable-sync		--enable-cast-receiver			--force-first-run	--incognito			cellular-only
12		--account-consistency		--allow-hidden-media-playback	32kHz		--app		--ash-animate-from-boot-splash-screen	--ash-enable-magnifier-key-scroller		1	--auto	--bwsi	--ChromeOSMemoryPressureHandling	--cloud-print-setup-proxy				--disable-hang-monitor		--disable-per-user-timezone	--disable-permission-action-reporting	--disable-suggestions-ui					--force-enable-stylus-tools			--is-running-in-mash	--log-net-log	cellular-only
12	--accept-resource-provider			--allow-hidden-media-playback	48kHz			--arc-availability=installed		--ash-enable-magnifier-key-scroller	--ash-enable-night-light	10	--auto	--bwsi	--ChromeOSMemoryPressureHandling				--disable-direct-composition-layers				--disable-permission-action-reporting			--enable-accelerated-2d-canvas		--fast-start	--force-enable-stylus-tools	--force-first-run	--incognito			always-on
255	--accept-resource-provider	--account-consistency	--allow-cross-origin-auth-prompt		32kHz		--app		--ash-animate-from-boot-splash-screen			1								--disable-hang-monitor	--disable-local-storage				--disable-sync	--enable-accelerated-2d-canvas	--enable-cast-receiver	--fast-start		--force-first-run		--is-running-in-mash	--log-net-log	disabled
255				--allow-hidden-media-playback	32kHz	--alternative		--arc-availability=installed	--ash-animate-from-boot-splash-screen	--ash-enable-magnifier-key-scroller		1				--cloud-print-setup-proxy	--disable-2d-canvas-clip-aa	--disable-backing-store-limit				--disable-per-user-timezone	--disable-permission-action-reporting	--disable-suggestions-ui	--disable-sync			--fast-start			--incognito		--log-net-log	cellular-only
12	--accept-resource-provider	--account-consistency	--allow-cross-origin-auth-prompt		48kHz	--alternative	--app					1		--bwsi	--ChromeOSMemoryPressureHandling	--cloud-print-setup-proxy		--disable-backing-store-limit		--disable-hang-monitor	--disable-local-storage	--disable-per-user-timezone	--disable-permission-action-reporting								--incognito			cellular-only
12	--accept-resource-provider		--allow-cross-origin-auth-prompt		48kHz							10	--auto		--ChromeOSMemoryPressureHandling		--disable-2d-canvas-clip-aa		--disable-direct-composition-layers		--disable-local-storage	--disable-per-user-timezone				--enable-accelerated-2d-canvas				--force-first-run		--is-running-in-mash		always-on
