c1	c2	c3	c4	c5	c6	c7	c8	c9	--default-storage-engine	--binlog-format	--daemonize	--delay-key-write	--event-scheduler	--myisam-recover-options	--autocommit	--key-buffer-size	--max-allowed-packet	--max-connections	--wait-timeout	--interactive-timeout	--concurrency	--iterations	--number-int-cols	--number-char-cols	--commit	c10	c11	--detach
--skip-external-locking	--skip-character-set-client-handshake		--big-tables	--flush		--skip-networking	--super-large-pages	--symbolic-links	InnoDB	ROW	ON	OFF	ON	QUICK	0	715827882	357913941	1	1	28800	1	10	4	4	50			3
--skip-external-locking	--character-set-client-handshake	--external-locking			--memlock			--symbolic-links	BLACKHOLE	STATEMENT	OFF	ALL	OFF	BACKUP	1	1073741823	1073741824	100000	19200	9600	6	4	7	7	17	--compress	--enable-cleartext-plugin	5
--external-locking	--character-set-client-handshake			--flush	--memlock	--skip-networking		--symbolic-links	MyISAM	MIXED	OFF	ON	DISABLED	OFF	0	8	715827882	66666	9600	28800	20	1	4	1	0	--compress	--enable-cleartext-plugin	0
--external-locking	--skip-character-set-client-handshake	--external-locking	--big-tables				--super-large-pages	--symbolic-links	MyISAM	MIXED	ON	ALL	OFF	OFF	1	357913941	1024	33333	28800	1	13	7	1	4	34			0
--external-locking	--character-set-client-handshake		--big-tables		--memlock	--skip-networking	--super-large-pages	--symbolic-links	BLACKHOLE	STATEMENT	ON	ON	ON	QUICK	1	357913941	357913941	100000	19200	19200	20	1	10	10	34		--enable-cleartext-plugin	1
--external-locking	--skip-character-set-client-handshake	--external-locking						--symbolic-links	InnoDB	STATEMENT	OFF	OFF	DISABLED	DEFAULT	0	1073741823	715827882	66666	28800	19200	1	7	10	10	50	--compress		5
--skip-external-locking	--skip-character-set-client-handshake	--external-locking	--big-tables	--flush	--memlock	--skip-networking		--symbolic-links	BLACKHOLE	ROW	ON	OFF	DISABLED	DEFAULT	1	8	1073741824	33333	1	28800	13	7	7	7	0		--enable-cleartext-plugin	3
--skip-external-locking	--character-set-client-handshake			--flush	--memlock		--super-large-pages	--symbolic-links	InnoDB	ROW	OFF	ALL	ON	QUICK	0	1073741823	1024	100000	9600	9600	13	10	1	1	0	--compress		1
--skip-external-locking	--character-set-client-handshake	--external-locking		--flush		--skip-networking		--symbolic-links	InnoDB	MIXED	ON	ON	OFF	QUICK	1	715827882	715827882	66666	1	1	1	4	1	1	17		--enable-cleartext-plugin	5
--skip-external-locking	--skip-character-set-client-handshake		--big-tables			--skip-networking	--super-large-pages	--symbolic-links	MyISAM	STATEMENT	OFF	ALL	DISABLED	FORCE	0	715827882	1073741824	33333	1	1	20	4	4	7	34	--compress		1
--external-locking	--skip-character-set-client-handshake	--external-locking	--big-tables	--flush			--super-large-pages	--symbolic-links	MyISAM	MIXED	OFF	ALL	ON	DEFAULT	1	8	357913941	33333	9600	9600	6	1	4	10	17			5
--external-locking	--skip-character-set-client-handshake				--memlock			--symbolic-links	MyISAM	ROW	ON	ON	OFF	DEFAULT	0	357913941	1024	66666	19200	19200	20	10	7	4	17	--compress		3
--external-locking	--character-set-client-handshake					--skip-networking	--super-large-pages	--symbolic-links	BLACKHOLE	STATEMENT	OFF	ALL	DISABLED	DEFAULT	1	8	1024	1	19200	9600	1	10	7	1	50		--enable-cleartext-plugin	0
--skip-external-locking	--character-set-client-handshake				--memlock			--symbolic-links	BLACKHOLE	MIXED	ON	OFF	ON	QUICK	0	8	357913941	33333	28800	1	13	10	10	7	17	--compress	--enable-cleartext-plugin	0
--external-locking	--character-set-client-handshake	--external-locking	--big-tables	--flush	--memlock	--skip-networking		--symbolic-links	MyISAM	STATEMENT	ON	OFF	OFF	DEFAULT	0	715827882	1024	100000	9600	28800	13	4	1	10	34	--compress	--enable-cleartext-plugin	5
--skip-external-locking	--skip-character-set-client-handshake	--external-locking		--flush		--skip-networking	--super-large-pages	--symbolic-links	BLACKHOLE	ROW	OFF	ON	OFF	BACKUP	0	1073741823	1073741824	100000	28800	1	20	1	1	10	50			3
--skip-external-locking	--character-set-client-handshake			--flush			--super-large-pages	--symbolic-links	MyISAM	ROW	ON	OFF	DISABLED	FORCE	0	357913941	357913941	100000	28800	19200	6	4	10	1	0			5
--skip-external-locking	--character-set-client-handshake	--external-locking	--big-tables		--memlock			--symbolic-links	InnoDB	STATEMENT	OFF	OFF	ON	FORCE	1	357913941	1073741824	66666	9600	28800	6	1	7	4	50	--compress		0
--external-locking	--skip-character-set-client-handshake		--big-tables	--flush	--memlock		--super-large-pages	--symbolic-links	InnoDB	MIXED	OFF	ON	OFF	FORCE	0	357913941	357913941	1	9600	9600	1	7	1	7	50	--compress	--enable-cleartext-plugin	3
--external-locking	--character-set-client-handshake		--big-tables					--symbolic-links	BLACKHOLE	ROW	OFF	OFF	ON	OFF	1	357913941	715827882	100000	1	1	6	7	4	1	34	--compress	--enable-cleartext-plugin	3
--skip-external-locking	--skip-character-set-client-handshake	--external-locking	--big-tables		--memlock	--skip-networking	--super-large-pages	--symbolic-links	InnoDB	MIXED	ON	ON	DISABLED	DEFAULT	1	1073741823	357913941	66666	28800	9600	6	4	10	4	34		--enable-cleartext-plugin	3
--external-locking	--character-set-client-handshake		--big-tables	--flush		--skip-networking		--symbolic-links	BLACKHOLE	MIXED	OFF	ON	DISABLED	FORCE	1	715827882	1073741824	33333	19200	19200	13	10	1	4	17			5
--skip-external-locking	--skip-character-set-client-handshake	--external-locking	--big-tables	--flush	--memlock		--super-large-pages	--symbolic-links	InnoDB	STATEMENT	ON	OFF	OFF	OFF	0	1073741823	715827882	33333	19200	19200	13	4	4	1	50		--enable-cleartext-plugin	1
--external-locking	--character-set-client-handshake	--external-locking				--skip-networking		--symbolic-links	InnoDB	ROW	OFF	ALL	OFF	BACKUP	1	8	357913941	33333	19200	28800	20	7	10	4	0	--compress		1
--skip-external-locking	--skip-character-set-client-handshake	--external-locking		--flush	--memlock	--skip-networking	--super-large-pages	--symbolic-links	BLACKHOLE	MIXED	ON	ALL	ON	OFF	1	357913941	715827882	1	28800	28800	1	4	7	10	17	--compress		1
--skip-external-locking	--skip-character-set-client-handshake		--big-tables		--memlock			--symbolic-links	MyISAM	ROW	ON	ALL	OFF	BACKUP	1	715827882	1073741824	1	9600	19200	1	10	10	10	0		--enable-cleartext-plugin	0
--external-locking	--character-set-client-handshake	--external-locking		--flush				--symbolic-links	MyISAM	STATEMENT	OFF	ON	ON	BACKUP	0	357913941	1024	1	1	1	1	1	7	7	34			5
--external-locking	--skip-character-set-client-handshake	--external-locking		--flush		--skip-networking	--super-large-pages	--symbolic-links	BLACKHOLE	STATEMENT	ON	ON	OFF	OFF	1	1073741823	357913941	66666	1	9600	6	10	4	7	0			0
--skip-external-locking	--character-set-client-handshake		--big-tables			--skip-networking		--symbolic-links	InnoDB	STATEMENT	OFF	ON	DISABLED	BACKUP	0	357913941	1024	33333	28800	9600	13	4	4	10	0	--compress	--enable-cleartext-plugin	3
--external-locking	--skip-character-set-client-handshake	--external-locking	--big-tables	--flush	--memlock		--super-large-pages	--symbolic-links	InnoDB	MIXED	ON	ALL	DISABLED	BACKUP	0	357913941	715827882	100000	1	9600	20	7	10	1	17			0
--skip-external-locking	--skip-character-set-client-handshake				--memlock	--skip-networking		--symbolic-links	MyISAM	ROW	ON	OFF	ON	OFF	1	715827882	1024	33333	1	9600	20	1	10	7	50	--compress	--enable-cleartext-plugin	5
--external-locking	--skip-character-set-client-handshake	--external-locking	--big-tables				--super-large-pages	--symbolic-links	BLACKHOLE	ROW	OFF	ALL	DISABLED	QUICK	1	357913941	715827882	66666	9600	19200	13	1	10	7	0	--compress		3
--external-locking	--character-set-client-handshake	--external-locking	--big-tables		--memlock			--symbolic-links	MyISAM	MIXED	ON	OFF	DISABLED	DEFAULT	0	1073741823	1073741824	1	19200	1	1	1	4	1	17	--compress		1
--skip-external-locking	--skip-character-set-client-handshake					--skip-networking		--symbolic-links	BLACKHOLE	STATEMENT	OFF	ON	DISABLED	DEFAULT	0	357913941	715827882	100000	9600	1	6	10	1	4	0		--enable-cleartext-plugin	1
--skip-external-locking	--skip-character-set-client-handshake		--big-tables				--super-large-pages	--symbolic-links	InnoDB	STATEMENT	ON	ON	ON	OFF	0	8	1073741824	100000	28800	28800	20	10	7	1	34			5
--skip-external-locking	--character-set-client-handshake	--external-locking			--memlock	--skip-networking		--symbolic-links	BLACKHOLE	MIXED	OFF	ALL	ON	DEFAULT	1	1073741823	357913941	33333	1	19200	20	10	4	1	0	--compress	--enable-cleartext-plugin	5
