add_blackborders_on_fullscreen=false	autoload_m4a=true	autosync=false	disable_screensaver=true	dont_remember_media_settings=false	dont_remember_time_pos=false	global_audio_equalizer=true	global_volume=true	remember_media_settings=true	remember_stream_settings=true	remember_time_pos=true	tablet_mode=false	use_audio_equalizer=false	use_direct_rendering=false	use_double_buffer=true	use_hwac3=false	use_mc=false	use_soft_video_eq=false	use_soft_vol=true	vdpau_disable_video_filters=true	vdpau_ffh264vdpau=true	vdpau_ffhevcvdpau=false	vdpau_ffmpeg12vdpau=true	repaint_video_background=false	save_smplayer_log=false	show_tag_in_window_title=true	fullscreen_playlist_was_visible=false	ignore_playlist_events=false	mainwindow_visible=true	format_info=false	frame_counter=false	fullscreen_toolbar1_was_visible=false	play_files_from_start=true	recursive_add_directory=false	recents\max_items=10	urls\max_items=50	initial_sub_pos=100	initial_sub_scale=5
false	false	true	true	false	false	false	false	false	true	false	false	false	false	true	false	true	true	true	false	true	true	false	true	true	false	false	false	true	true	false	false	false	false	4	50	33	1
true	true	false	false	true	true	true	true	true	false	true	true	true	true	false	true	false	false	false	true	false	false	true	false	false	true	true	true	false	false	true	true	true	true	1	16	100	4
true	true	true	true	true	true	false	true	false	false	false	false	true	true	true	false	false	true	false	true	true	true	true	false	true	true	false	true	true	true	true	true	false	true	10	50	66	2
true	false	false	false	false	false	true	false	true	true	true	true	false	false	false	true	true	false	true	false	false	false	false	true	false	false	true	false	false	false	false	false	true	true	4	1	1	5
false	false	true	false	true	false	false	true	true	true	false	true	true	false	true	true	false	true	true	true	false	true	false	false	false	false	false	true	false	true	false	true	true	false	7	1	66	4
false	true	false	true	false	true	true	false	false	false	true	false	false	true	false	false	true	false	false	false	true	false	true	true	true	true	true	false	true	false	true	false	false	false	10	1	100	1
false	false	true	false	false	false	false	false	false	false	true	true	true	false	false	false	false	true	false	false	false	false	true	true	false	false	true	true	true	false	true	false	true	true	7	32	33	2
false	true	false	true	false	true	true	true	true	true	false	false	false	true	true	true	true	false	true	true	true	true	false	false	true	true	false	false	true	true	false	false	false	false	1	16	1	2
true	true	true	true	true	false	true	false	false	true	false	true	true	true	false	false	true	true	true	true	true	true	true	true	true	true	true	false	false	true	true	true	false	false	7	16	33	5
true	false	false	true	true	true	false	true	true	false	true	false	false	true	true	true	true	false	false	false	false	false	false	false	true	false	false	true	false	true	false	true	true	true	1	32	33	1
false	false	false	false	true	true	true	false	true	true	true	false	false	false	false	false	false	false	false	false	true	false	true	true	false	true	false	false	false	false	false	false	true	false	1	50	66	5
false	true	false	true	false	false	false	true	false	false	true	true	false	false	true	true	false	true	true	false	false	true	false	true	false	false	true	false	false	false	true	true	false	true	10	50	1	4
true	true	true	false	true	true	true	false	true	false	false	false	true	true	true	false	true	false	false	true	true	true	true	false	true	true	true	true	true	false	true	false	false	false	4	32	66	4
true	false	true	false	false	false	false	true	true	true	false	false	true	false	true	false	false	false	false	true	true	false	true	false	false	true	true	false	true	false	false	true	true	true	10	1	33	4
false	false	true	true	false	false	false	false	false	true	false	false	true	false	true	false	true	true	true	true	true	true	false	true	true	false	false	true	false	true	false	true	false	true	1	1	100	2
true	false	true	false	false	true	false	true	false	true	false	true	true	false	true	false	false	true	true	true	true	true	false	false	false	false	false	true	false	false	false	true	true	false	4	16	66	1
false	false	false	true	false	false	false	true	false	true	true	false	false	false	true	false	true	false	true	false	false	true	true	false	true	true	false	false	false	true	true	true	true	false	4	32	100	2
false	true	true	false	true	true	true	false	true	false	false	false	true	true	false	false	true	false	false	true	false	true	true	true	false	true	false	true	false	false	false	false	false	false	7	50	1	1
false	false	false	false	true	false	false	true	true	false	false	true	true	true	true	false	false	true	true	false	false	false	true	false	true	false	false	true	true	false	true	false	false	false	10	16	100	5
true	false	false	false	true	false	true	true	false	true	false	false	false	true	false	true	true	false	false	true	false	true	true	true	true	false	false	true	false	true	false	false	true	false	7	50	100	4
false	false	false	false	false	false	false	true	false	false	true	true	false	true	false	true	false	false	true	true	false	false	false	false	true	false	true	false	false	true	true	true	false	true	10	32	1	5
