accessibility.AOM.enabled	accessibility.tabfocus_applies_to_xul	alerts.showFavicons	app.update.cert.checkAttributes	apz.allow_checkerboarding	apz.disable_for_scroll_linked_effects	apz.minimap.visibility.enabled	apz.record_checkerboarding	autocomplete.ungrab_during_mode_switch	bidi.edit.delete_immediately	browser.cache.disk.enable	browser.cache.disk.smart_size.first_run	browser.chrome.site_icons	browser.display.force_inline_alttext	browser.download.manager.addToRecentDocs	browser.download.manager.showAlertOnComplete	browser.fixup.dns_first_for_single_words	browser.formfill.saveHttpsForms	browser.meta_refresh_when_inactive.disabled	browser.safebrowsing.downloads.remote.enabled	browser.search.log	browser.search.update	browser.triple_click_selects_paragraph	camera.control.face_detection.enabled	canvas.imagebitmap_extensions.enabled	chat.irc.automaticList	clipboard.plainTextOnly	datareporting.policy.dataSubmissionPolicyBypassNotification	devtools.browserconsole.filter.info	devtools.browserconsole.filter.serverinfo	devtools.browserconsole.filter.sharedworkers	devtools.chrome.enabled	devtools.command-button-screenshot.enabled	devtools.debugger.enabled	devtools.debugger.remote-websocket	extensions.getAddons.databaseSchema	extensions.databaseSchema	mail.server.server1.authMethod	mail.smtpserver.smtp1.authMethod	mail.server.server1.socketType
false	true	true	true	true	true	true	false	true	false	false	true	true	false	false	false	false	true	true	true	false	false	false	false	false	false	true	false	true	true	false	false	true	true	true	1	19	1	10	1
true	false	false	false	false	false	false	true	false	true	true	false	false	true	true	true	true	false	false	false	true	true	true	false	true	true	false	true	false	false	true	true	false	false	false	5	1	10	1	3
true	true	false	false	false	true	true	true	true	true	false	false	true	true	false	true	false	true	false	true	true	true	false	true	true	false	true	true	true	false	false	true	false	true	false	1	1	1	1	1
false	false	true	true	true	true	false	false	false	true	true	true	false	false	true	false	true	false	true	false	false	false	true	true	false	true	false	false	false	true	true	false	true	false	true	5	19	10	10	3
true	true	false	true	true	false	false	true	true	false	true	true	false	true	true	false	false	true	false	false	false	true	false	true	false	true	true	true	false	true	false	true	true	false	false	5	1	1	10	1
false	false	true	false	false	false	true	false	false	false	false	false	true	false	false	true	false	false	true	false	true	false	true	false	true	false	false	false	true	false	true	false	false	true	true	1	19	10	1	3
true	true	true	true	false	false	true	true	false	false	true	true	true	false	true	false	true	false	false	true	true	false	false	false	false	true	true	false	true	false	true	true	true	true	true	5	1	10	1	1
false	false	false	false	true	false	false	false	true	false	false	true	false	true	false	true	true	true	true	true	false	true	true	true	true	false	false	true	false	false	false	false	false	false	false	1	19	1	10	3
false	false	false	true	false	true	false	false	false	true	true	false	true	true	false	true	false	true	false	true	false	false	false	true	true	false	false	true	true	true	false	false	true	false	true	5	1	10	1	1
true	true	true	false	true	false	true	false	true	true	false	false	false	false	true	false	true	false	true	false	true	true	true	false	false	true	true	false	false	true	true	true	false	true	false	1	1	1	10	3
false	false	false	true	false	false	false	true	false	true	true	true	false	false	true	true	true	false	false	true	false	false	false	true	false	false	true	true	true	true	false	true	false	true	false	1	19	1	10	3
true	true	false	false	true	false	true	true	true	false	false	false	true	true	false	false	true	true	true	false	true	true	true	true	true	true	false	false	false	true	true	false	true	false	true	5	19	10	1	1
false	true	true	true	true	false	false	true	true	true	false	false	true	true	false	false	true	true	true	false	false	true	false	true	false	true	false	true	false	false	false	true	false	true	false	1	19	1	10	3
